isin,name,security_code,industry
KE0000000208, Eaagads Ltd,EGAD,AGRICULTURAL
KE0000000281, Kakuzi Plc,KUKZ,AGRICULTURAL
KE4000001760, Kapchorua Tea Co. Ltd,KAPC,AGRICULTURAL
KE0000000356, The Limuru Tea Co. Ltd,LIMT,AGRICULTURAL
KE0000000430, Sasini Ltd,SASN,AGRICULTURAL
KE0000000505, Williamson Tea Kenya Ltd,WTK,AGRICULTURAL
KE0000000109, Car & General (K) Ltd,CG,AUTOMOBILES & ACCESSORIES
KE0000000232, Sameer Africa Ltd,FIRE,AUTOMOBILES & ACCESSORIES
KE0000000067, Barclays Bank of Kenya Ltd,BBK,BANKING
KE0000000158, Diamond Trust Bank Kenya Ltd,DTK,BANKING
KE0000000554, Equity Group Holdings Plc,EQT,BANKING
KE0000000240, Housing Finance Group Plc,HFCK,BANKING
KE0000000125, I&M Holdings Ltd,IM,BANKING
KE0000000315, KCB Group Ltd,KCB,BANKING
KE0000000398, National Bank of Kenya Ltd,NBK,BANKING
KE0000000406, NIC Bank Ltd,NIC,BANKING
KE0000000091, Stanbic Holdings Plc,CFC,BANKING
KE0000000448, Standard Chartered Bank Kenya Ltd,SCBK,BANKING
KE1000001568, The Co-operative Bank of Kenya Ltd,COOP,BANKING
KE4000004095, Atlas African Industries Ltd,ADSS,COMMERCIAL AND SERVICES
KE5000005438,Deacons (East Africa) Plc,DCON,COMMERCIAL AND SERVICES
KE0000000588, Eveready East Africa Ltd,EVRD,COMMERCIAL AND SERVICES
KE0000000224, Express Kenya Ltd,XPRS,COMMERCIAL AND SERVICES
KE0000000257, Hutchings Biemer Ltd,HBL,COMMERCIAL AND SERVICES
KE0000000307, Kenya Airways Ltd,KQ,COMMERCIAL AND SERVICES
KE2000002275, Longhorn Publishers Ltd,LKL,COMMERCIAL AND SERVICES
KE5000000090, Nairobi Business Ventures Ltd,NBV,COMMERCIAL AND SERVICES
KE0000000380, Nation Media Group Ltd,NMG,COMMERCIAL AND SERVICES
KE0000000455, Standard Group  Ltd,SGL,COMMERCIAL AND SERVICES
KE0000000539, TPS Eastern Africa  Ltd,TPS,COMMERCIAL AND SERVICES
KE0000000489, Uchumi Supermarket Plc,UCHM,COMMERCIAL AND SERVICES
KE0000000562, WPP Scangroup  Ltd,SCAN,COMMERCIAL AND SERVICES
KE0000000034, ARM Cement Plc,ARM,CONSTRUCTION & ALLIED
KE0000000059, Bamburi Cement Ltd,BAMB,CONSTRUCTION & ALLIED
KE0000000141, Crown Paints Kenya Plc,BERG,CONSTRUCTION & ALLIED
KE0000000174, E.A.Cables Ltd,CABL,CONSTRUCTION & ALLIED
KE0000000190, E.A.Portland Cement Co. Ltd,PORT,CONSTRUCTION & ALLIED
KE0000000547, KenGen Co. Ltd,KEGN,ENERGY & PETROLEUM
KE0000000323, KenolKobil Ltd,KENO,ENERGY & PETROLEUM
KE0000000349, Kenya Power & Lighting  Co Ltd,KPLC,ENERGY & PETROLEUM
KE0000000463, Total Kenya Ltd,TOTL,ENERGY & PETROLEUM
KE2000005815, Umeme Ltd,UMME,ENERGY & PETROLEUM
KE2000002192, Britam Holdings Plc,BTAK,INSURANCE
KE2000002317, CIC Insurance Group Ltd,CIC,INSURANCE
KE0000000273, Jubilee Holdings Ltd,JUB,INSURANCE
KE0000000604, Kenya Re Insurance Corporation Ltd,KNRE,INSURANCE
KE2000002168, Liberty Kenya Holdings Ltd,CFCI,INSURANCE
KE0000000414, Sanlam Kenya Plc,PAFR,INSURANCE
KE0000000265, Centum Investment Co Plc,ICDC,INVESTMENT
KE2000007258, Home Afrika Ltd,HAFR,INVESTMENT
KE4000001216, Kurwitu Ventures Ltd,KURV,INVESTMENT
KE0000000166, Olympia Capital Holdings Ltd,OCH,INVESTMENT
KE2000002184,Trans-Century Ltd,TCL,INVESTMENT
KE3000009674, Nairobi Securities Exchange Plc,NSE,INVESTMENT SERVICES
KE0000000018, A.Baumann & Co Ltd,BAUM,MANUFACTURING & ALLIED
KE0000000042, B.O.C Kenya Ltd,BOC,MANUFACTURING & ALLIED
KE0000000075, British American Tobacco Kenya Ltd,BAT,MANUFACTURING & ALLIED
KE0000000117, Carbacid Investments Plc,CARB,MANUFACTURING & ALLIED
KE0000000216, East African Breweries Ltd,EABL,MANUFACTURING & ALLIED
KE4000001323, Flame Tree Group Holdings Ltd,FTGH,MANUFACTURING & ALLIED
KE0000000331, Kenya Orchards Ltd,ORCH,MANUFACTURING & ALLIED
KE0000000372, Mumias Sugar Co. Ltd,MSC,MANUFACTURING & ALLIED
KE0000000497, Unga Group Ltd,UNGA,MANUFACTURING & ALLIED
KE1000001402, Safaricom Ltd,SCOM,TELECOMMUNICATION 
KE5000003656,STANLIB FAHARI I-REIT.,,REAL ESTATE INVESTMENT TRUST
KE5000007095,Barclays New Gold ETF,GLD,EXCHANGE TRADED FUNDS
